2023-11-28 12:52:02 ,navigation,2,PASS,"Navigate test site","" 
2023-11-28 12:52:06 ,login,2,PASS,"Enter empty username and empty password","" 
2023-11-28 12:52:11 ,login,3,PASS,"Enter empty username and correct password","" 
2023-11-28 12:52:15 ,login,4,PASS,"Enter an existing username and empty password","" 
2023-11-28 12:52:19 ,login,5,PASS,"Enter non existing username and empty password","" 
2023-11-28 12:52:24 ,login,6,PASS,"Enter non existing username and password","" 
2023-11-28 12:52:28 ,login,7,PASS,"Enter an existing username but the corresponding password in capital","" 
2023-11-28 12:52:32 ,login,8,PASS,"Enter an existing username and corresponding password both in capital","" 
2023-11-28 12:52:37 ,login,9,PASS,"Enter email with white spaces","" 
2023-11-28 12:52:41 ,login,10,PASS,"Enter password with white spaces","" 
2023-11-28 12:52:45 ,login,11,PASS,"Enter an existing username and correct password with leading white space","" 
2023-11-28 12:52:50 ,login,12,PASS,"Enter an existing username and correct password with trailing white space","" 
2023-11-28 12:52:54 ,login,13,PASS,"Enter an existing username with leading white space and correct password","" 
2023-11-28 12:52:58 ,login,14,PASS,"Enter registered email in invalid format and correct password","" 
